Compound,Date,Negative,Neutral,News Outlet,Positive,Tweet Text,Tweets Count
0.3595,Fri Jun 15 18:48:29 +0000 2018,0.0,0.872,@CBS,0.128,"Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n",27
-0.296,Thu Jun 14 17:30:00 +0000 2018,0.167,0.833,@CBS,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/h3YnFkmSQJ",28
0.1779,Thu Jun 14 16:19:32 +0000 2018,0.12,0.734,@CBS,0.147,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https…,29
-0.5562,Tue Jun 12 00:19:23 +0000 2018,0.315,0.551,@CBS,0.134,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",30
0.5093,Mon Jun 11 22:23:06 +0000 2018,0.0,0.829,@CBS,0.171,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",31
-0.296,Mon Jun 11 19:01:38 +0000 2018,0.167,0.833,@CBS,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa",32
0.0,Mon Jun 11 14:00:37 +0000 2018,0.0,1.0,@CBS,0.0,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,33
0.0,Mon Jun 11 06:19:36 +0000 2018,0.0,1.0,@CBS,0.0,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,34
0.4767,Mon Jun 11 06:04:41 +0000 2018,0.0,0.78,@CBS,0.22,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,35
0.8478,Mon Jun 11 03:10:33 +0000 2018,0.0,0.594,@CBS,0.406,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,36
0.92,Mon Jun 11 03:02:06 +0000 2018,0.0,0.537,@CBS,0.463,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH,37
0.4404,Mon Jun 11 02:58:30 +0000 2018,0.088,0.737,@CBS,0.175,"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…",38
0.4404,Mon Jun 11 02:56:40 +0000 2018,0.0,0.847,@CBS,0.153,RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better 😍🤩,39
0.836,Mon Jun 11 02:56:10 +0000 2018,0.0,0.533,@CBS,0.467,Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5,40
0.0,Mon Jun 11 02:53:00 +0000 2018,0.0,1.0,@CBS,0.0,The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn,41
0.6369,Mon Jun 11 02:47:29 +0000 2018,0.0,0.682,@CBS,0.318,RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.,42
0.7978,Mon Jun 11 02:44:50 +0000 2018,0.0,0.457,@CBS,0.543,Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq,43
0.9523,Mon Jun 11 02:44:37 +0000 2018,0.0,0.484,@CBS,0.516,The feeling when you win a Tony. 🙌 Congratulations to Once on This Island for winning Best Revival of a Musical!… https://t.co/UpFCqgBTwh,44
0.5994,Mon Jun 11 02:33:09 +0000 2018,0.0,0.698,@CBS,0.302,What a beautiful performance by the cast of #TheBandsVisit. #TonyAwards https://t.co/4Hw96kZvrf,45
0.4215,Mon Jun 11 02:29:18 +0000 2018,0.0,0.877,@CBS,0.123,"""I'm a living example of how theatre can change you - and it didn't just change me, it saved me."" @JohnLeguizamo at… https://t.co/4ICwMhb6hv",46
0.8932,Mon Jun 11 02:23:56 +0000 2018,0.0,0.483,@CBS,0.517,Angels in America takes the win for Best Revival of a Play! #TonyAwards https://t.co/zodW61tw8a,47
